,user_id,artist_mbid,artist_name,plays
0,bc7c20a3a0f37b3a7328659c3096a66a549374c0,084308bd-1654-436f-ba03-df6697104e19,green day,95
1,f403a5a46fd841dbfa298abe2d39e2d72da232e3,a4d62ced-2f87-488a-9c76-ab88ea7a2cbf,pharoahe monch,83
2,3648da19e4407d0fd11282dd3950ad1de4c91a88,596ffa74-3d08-44ef-b113-765d43d12738,justin timberlake,24
3,c24510dc8a92fc1056ce9f76a55610695eb147bb,19a924bc-a592-4359-b5ae-878c3fcae08f,area51,43
4,73f36dafacdc2f4a5e66641dccdc26b93b669caa,775769fe-b843-4cf0-904a-a1b9ac9d79ec,plus-tech squeeze box,190
5,21f87718613ea54628bd4320b6e4b1768b41a908,f27ec8db-af05-4f36-916e-3d57f91ecf5e,michael jackson,28
6,589b7c22f44ff6e287ad9d9718110cb9af220947,1946a82a-f927-40c2-8235-38d64f50d043,the chemical brothers,9
7,679f2ec788c9ff94185f8b59624b6936b9b1db92,d530dbf9-69b1-404f-98f2-0431104f5a1e,bullet for my valentine,70
8,02ee0d44551a6af8b115d4498b509eb42344a638,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,as i lay dying,167
9,aca0eced786e872b9039ecadd36a835cd5122918,f22942a1-6f70-4f48-866e-238cb2308fbd,aphex twin,4
10,ea3b5f992d113e1bb1047992b33406c2c9c0edee,54d99b56-f672-4077-8b15-b84c068e58fe,akurat,2472
11,109c05592e9126689127cea50e623c98c323fc30,5fce80af-90c3-419b-97e6-55d0a1e98c2f,mark farina,130
12,7013bc73bf3ef656600526b77cafb279296f3768,f569a00a-a5d4-4269-b383-e125a0b515a4,diamanda galás,25
13,8ad62ee7d2e3f49d69c988e00b523cfcc867a18f,7fa62c0b-2c74-491e-a2a1-17c3b043f326,babyface,92
14,0a25f4ba9c567da72c853b42972cc9dfee35a938,a700351d-21f5-4260-aee5-d39857772809,frida hyvönen,35
15,6943a818c531e78b54c413862b90550ae3976829,cf66ee44-360b-445e-bfb8-e20e69325742,donavon frankenreiter,30
16,2b842c15a8c25089e2cf451e962937fa74c83741,d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,johnny cash,179
17,7c1b0aa7eee6fa5781734f115247d28d364b89de,3ac2a4a2-52b3-498b-bbc8-31443c68dfe0,missy higgins,61
18,cda7456ffaeb7222e4c7034b0db738bcc44ed12c,e95a296e-a34c-4496-9a7c-a95683d487b5,these arms are snakes,26
19,2b8ed3349a7be8000d92aad1061f0aa2da7b24f7,66fc5bf8-daa4-4241-b378-9bc9077939d2,tool,118
20,c712a3464d90a0587427d22bf1bd41f417f34768,e795e03d-b5d5-4a5f-834d-162cfb308a2c,pj harvey,11
21,8dad80a68ac01ac25e335cf1d87522819385de70,7e21219d-cd36-4de6-9d1c-3ace321780ec,french teen idol,42
22,b41b233c0b661782a730e33af5277ab69d4b50cd,422cad31-8a03-45e0-93f9-5a73bc22f9fd,lilu,288
